,81201 Paramaribo,luchtdruk (in mbar),luchtdruk (in mbar),luchtdruk (in mbar),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),temperatuur (oC),dampdrukking (in mm Hg),dampdrukking (in mm Hg),dampdrukking (in mm Hg),relatieve vochtigheid,relatieve vochtigheid,relatieve vochtigheid,windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),windrichting en -kracht (in Beaufort: 0-12),bewolking (0-10),bewolking (0-10),bewolking (0-10),regen,regen,ijtlmjn
,Unnamed: 0_level_1,PP 8,PP 14,PP 18,TT 8,TT 14,TT 18,Max,Min,dampdruk 8,dampdruk 14,dampdruk 18,RH 8,RH 14,RH 18,DD 8,FF 8,DD 14,FF 14,DD 18,FF 18,8,14,18,Rd 8,Rd 8.1,Unnamed: 26_level_1
83,19550323.0,116.0,108.0,86.0,234.0,262.0,249.0,284.0,233.0,205.0,202.0,203.0,96.0,80.0,87.0,ENE,2.0,NE,1.0,E,1.0,10.0,10.0,10.0,480.0,,
84,19550324.0,120.0,104.0,92.0,256.0,268.0,262.0,270.0,239.0,216.0,218.0,208.0,89.0,83.0,82.0,E,2.0,NE,2.0,NE,2.0,7.0,10.0,9.0,145.0,,
85,19550325.0,104.0,93.0,,255.0,289.0,,281.0,242.0,222.0,211.0,,92.0,71.0,,Calm,0.0,NE,3.0,,,10.0,9.0,,27.0,,
86,19550326.0,89.0,88.0,87.0,245.0,288.0,266.0,295.0,245.0,213.0,224.0,212.0,93.0,76.0,82.0,Calm,0.0,NE,3.0,E,1.0,9.0,9.0,7.0,47.0,,
87,19550327.0,108.0,98.0,90.0,263.0,292.0,267.0,293.0,244.0,214.0,209.0,196.0,84.0,69.0,75.0,NE,1.0,ENE,3.0,ENE,2.0,9.0,9.0,10.0,32.0,,
88,19550328.0,116.0,106.0,94.0,266.0,293.0,267.0,301.0,248.0,204.0,187.0,194.0,79.0,62.0,75.0,ENE,2.0,NE,4.0,ENE,3.0,8.0,9.0,5.0,0.0,,
89,19550329.0,118.0,112.0,100.0,269.0,296.0,268.0,297.0,240.0,194.0,180.0,193.0,74.0,58.0,74.0,NE,2.0,ENE,4.0,ENE,2.0,1.0,7.0,4.0,0.0,,
90,19550330.0,114.0,108.0,92.0,236.0,293.0,263.0,299.0,228.0,201.0,189.0,188.0,93.0,62.0,74.0,ENE,2.0,NE,3.0,NE,1.0,10.0,2.0,3.0,36.0,,
91,19550331.0,104.0,98.0,84.0,265.0,283.0,265.0,298.0,240.0,206.0,207.0,216.0,80.0,72.0,84.0,Calm,0.0,NE,3.0,NE,1.0,6.0,9.0,7.0,105.0,,
92,,1010.7451612903226,1009.9387096774194,1008.8689655172413,24.506451612903227,27.15806451612903,25.47586206896552,28.251612903225805,23.261290322580646,20.6,20.574193548387097,20.141379310344828,90.06451612903226,76.96774193548387,83.51724137931035,,0.6774193548387096,,1.967741935483871,,1.4482758620689655,8.548387096774194,8.903225806451612,8.482758620689655,304.7,,
93,19550401.0,108.0,100.0,92.0,270.0,284.0,263.0,295.0,249.0,199.0,201.0,198.0,76.0,69.0,78.0,NE,2.0,ENE,3.0,NE,2.0,7.0,9.0,5.0,3.0,,
94,19550402.0,122.0,109.0,106.0,260.0,291.0,264.0,293.0,242.0,219.0,192.0,197.0,88.0,64.0,77.0,Calm,0.0,NNE,2.0,NE,1.0,9.0,9.0,5.0,0.0,,
95,19550403.0,118.0,108.0,101.0,254.0,257.0,258.0,294.0,236.0,215.0,215.0,199.0,90.0,88.0,81.0,NE,1.0,NE,2.0,NE,2.0,7.0,9.0,7.0,0.0,,
96,19550404.0,120.0,102.0,100.0,255.0,287.0,268.0,285.0,240.0,217.0,205.0,195.0,90.0,69.0,75.0,Calm,0.0,NE,3.0,ENE,2.0,9.0,9.0,7.0,28.0,,
97,19550405.0,120.0,108.0,104.0,255.0,251.0,239.0,294.0,248.0,213.0,221.0,211.0,88.0,93.0,96.0,Calm,0.0,Calm,0.0,Calm,0.0,9.0,10.0,10.0,1.0,,
98,19550406.0,124.0,109.0,98.0,243.0,277.0,249.0,286.0,232.0,214.0,215.0,216.0,95.0,78.0,93.0,Calm,0.0,Calm,0.0,NE,1.0,10.0,9.0,10.0,285.0,,
